Time,close,ask,bid,balanceRatio,volbuy,volsell,unbalance
2017-09-29 09:33:30.862796,4190.0,4194.4,4191.9,0.07000573976053093,166.54192658999997,-2212.43338543,-2045.8914588399994
2017-09-29 09:34:30.822225,4191.7,4194.0,4190.0,0.07257007388606536,101.12480513999998,-1292.35324614,-1191.2284409999995
2017-09-29 09:35:30.244624,4195.0,4196.0,4195.0,0.12939936584288855,209.15944767,-1407.22751302,-1198.06806535
2017-09-29 09:38:47.038880,4196.0,4195.9,4195.0,0.13947122158454292,198.90787414,-1227.24923469,-1028.34136055
2017-09-29 09:39:47.137318,4195.0,4195.8,4195.0,0.13921777584002948,171.03581734,-1057.51288133,-886.4770639899997
2017-09-29 09:40:47.087747,4194.9,4194.6,4190.1,0.165796091424921,171.52760082000003,-863.0420283300001,-691.5144275100001
2017-09-29 09:41:47.197185,4190.0,4195.9,4190.1,0.4724557240554453,155.43257456000003,-173.55608331000005,-18.123508749999978
2017-09-29 09:42:47.213617,4190.0,4195.5,4190.3,0.4724557240554453,155.43257456000003,-173.55608331000005,-18.123508749999978
2017-09-29 09:43:47.247051,4190.0,4195.2,4190.6,0.4724557240554453,155.43257456000003,-173.55608331000005,-18.123508749999978
2017-09-29 09:44:47.270484,4197.0,4196.9,4190.9,0.7260794789008114,186.65621838,-70.41786759,116.23835079
2017-09-29 09:45:47.299918,4195.0,4196.5,4195.3,0.7306946728330538,116.50584450000001,-42.93947354,73.56637096
2017-09-29 09:46:47.378354,4197.0,4197.0,4195.3,0.7640999432996529,116.56262492,-35.98630005,80.57632487000002
2017-09-29 09:47:47.376786,4197.0,4197.0,4195.6,0.8342668703889091,120.2146108,-23.881499289999994,96.33311151
2017-09-29 09:48:47.413220,4200.0,4201.2,4200.0,0.951326721332712,282.2564986,-14.441252309999996,267.81524629
2017-09-29 09:49:50.512829,4204.8,4207.1,4204.8,0.621578494635843,268.65182673000004,-163.55718476000004,105.09464197
2017-09-29 09:50:50.587265,4212.0,4211.9,4210.1,0.7823335773423598,490.61569499000007,-136.5025947,354.11310029000015
2017-09-29 09:51:51.258735,4220.0,4221.4,4220.0,0.8793139219627683,923.66312105,-126.77301783,796.8901032199999
2017-09-29 09:52:51.277168,4221.4,4224.8,4221.4,0.6997601413983036,1400.83216598,-601.04259525,799.7895707299997
2017-09-29 09:53:52.277657,4220.0,4222.9,4220.0,0.5887933285076057,1606.1103178799995,-1121.6894721600004,484.4208457199997
2017-09-29 09:54:52.320091,4223.2,4223.4,4223.2,0.5548944448026587,1785.5744561699994,-1432.2888201600006,353.28563600999945
2017-09-29 09:55:52.570537,4223.2,4222.8,4216.9,0.5487868405555234,1934.93911177,-1590.9091206899998,344.0299910799997
2017-09-29 09:56:52.574969,4212.0,4222.9,4218.3,0.5550466902613471,1927.27551177,-1545.0008671100006,382.2746446599992
2017-09-29 10:06:52.443280,4208.3,4208.3,4205.8,0.6160474579867995,472.7093680599999,-294.6168532100001,178.09251484999996
2017-09-29 10:07:52.441712,4205.4,4205.4,4205.1,0.4906937583931454,353.63649164999987,-367.05026175,-13.413770100000008
2017-09-29 10:08:52.471145,4205.1,4205.4,4205.4,0.6482540707611253,294.04024439,-159.54772004,134.49252435
2017-09-29 10:14:05.103027,4202.6,4202.6,4201.1,0.3684650889152847,255.14219826,-437.30385955,-182.16166129000004
2017-09-29 10:15:05.297117,4203.3,4202.0,4200.8,0.31056305629594283,201.91542397,-448.24376231,-246.32833834
